S.No.,Type of Stock,Mech. Code,Wagon Description,"Length over Headstock
 (mm)","Length over Buffer/Couplers
 (mm)","Length Inside 
(mm)","Width Inside
(mm)","Overall width
 (mm)","Height Inside
(mm)","Overall Height from Rail
 (mm)","Cubic Capacity
 (cum)","Bogie Centre 
 (mm)","Wheel Base
 (mm)","Journal centre
 (mm)","Wheel Dia Max
 (mm)","Wheel Dia Min
 (mm)",Material of Construction,Axle Load (t),Tare Wt.(t),Carrying capacity(t),Gross Wt.(t),Ratio(CC to Tare),Ratio(Gross to Tare),Built,Commodity Transported,Type of Bogie,Outer spring (nos/Bogie),Inner spring (nos/Bogie),Snubber spring (nos/Bogie),Type of Side Bearer Assembly,Type of Coupler,Type of Bearing,Air Brake Sytem,RDSO Speed Certificate Date,"RDSO Certified Speed Empty
 KMPH","RDSO Certified Speed Loaded
 KMPH",Rly Bd. Sanction Date,"Rly Bd. Sanction Speed Empty
 KMPH","Rly Bd. Sanction Speed Loaded
 KMPH",CRS Sanction Date,"CRS Sanction Speed Empty
 KMPH","CRS Sanction Speed Loaded
 KMPH",GM Sanction Date,"GM Sanction Speed Empty
 KMPH","GM Sanction Speed Loaded
 KMPH",Routes,"Validity
 (Open/Limited/Expired)","Valid Up to 
 (If limited)",Current status/ Remarks,Engg. Case No.,Pending Decision with,Population over IR as on date……
52,Hopper Wagon,BOBSN,BG Bogie hopper wagon,10668,11597,9296,2743,3020,2042,3301,34,7112,2000,2260,1000,906,IS:2062 E250A Cu,22.9,30,61.6,91.6,2.053,3.053,1994,"Ore, minrals etc.",(Modified) CASNUB 22 NLB,14,10,4,,CBC,CTRB(6x11) E-Class,Air Brake,,75,75,,,,,,,,,,,,,,,,
53,Hopper Wagon,BOBSN M1,BG Bogie hopper wagon,10668,11597,9296,2743,3020,2042,3301,34,7112,2000,2260,1000,955,IS:2062 E250A Cu,25,30.4,69.6,100,2.289,3.289,,"Ore, minrals etc.",CASNUB 22 NLC,14,14,4,,CBC,CTRB(6x11) E-Class,Air Brake,,60,50,,,,,,,,,,,,,,,,
54,Hopper Wagon,BOBR,BG Bogie hopper wagon,10671,11600,8732,3340,3500,2461,3735,57.2,7571,2000,2260,1000,906,,20.32,26.4,54.88,81.28,2.079,3.079,1986,Coal,CASNUB 22 NLB,14,8,4,,CBC,CTRB(6x11) E-Class,Air Brake,,80,80,,,,,,,,,,,,,,,,
55,Hopper Wagon,BOBR M1,BG Bogie hopper wagon,10671,11600,8732,3340,3500,2461,3735,57.2,7571,2000,2260,1000,906,,22.32,26,63.28,89.28,2.434,3.434,,Coal,(Modified) CASNUB 22 NLB,14,10,4,,CBC,CTRB(6x11) E-Class,Air Brake,03.04.2008,75,60,02.12.2009,75,60,29.04.2011,75,60,-,-,-,56,Limited,01.12.2011,U/P,,,
56,Hopper Wagon,BOBRN,BG Bogie hopper wagon,9671,10600,9327,3340,3500,2466,3735,56.78,6790,2000,2260,1000,906,IS:2062 E250A Cu & IRS:M-44,20.32,25.61,55.67,81.28,2.174,3.174,1991,Coal,CASNUB 22 NLB,14,8,4,,CBC,CTRB(6x11) E-Class,Air Brake,,85,60,,,,,,,,,,,,,,,,
57,Hopper Wagon,BOBRN M1,BG Bogie hopper wagon,9671,10600,9327,3340,3500,2466,3735,56.78,6790,2000,2260,1000,906,IS:2062 E250A Cu & IRS:M-44,22.32,25.6,63.68,89.28,2.488,3.488,,Coal,(Modified) CASNUB 22 NLB,14,10,4,,CBC,CTRB(6x11) E-Class,Air Brake,03.04.2008,80,60,23.10.2009,80,60,29.04.2011,80,60,-,-,-,56,Limited,22.10.2011,U/P,,,
58,Hopper Wagon,BOBRNHS,BG Bogie hopper wagon,9671,10600,9327,3340,3500,2466,3735,56.78,6790,2000,2260,1000,906,IS:2062 E250A Cu,20.32,25.61,55.67,81.28,2.174,3.174,,Coal,CASNUB 22 HS,14,12,4,,CBC,CTRB(6x11) E-Class,Air Brake,,100,100,,,,,,,,,,,,,,,,
59,Hopper Wagon,BOBRNHS M1,BG Bogie hopper wagon,9671,10600,9327,3340,3500,2466,3735,56.78,6790,2000,2260,1000,906,IS:2062 E250A Cu,22.32,25.61,63.67,89.28,2.486,3.486,,Coal,(Modified) CASNUB 22 HS,14,14,4,,CBC,CTRB(6x11) E-Class,Air Brake,,65,60,21.08.2009,65,40,-,-,-,-,-,-,93,Limited,20.08.2010,U/P,,,
60,Hopper Wagon,BOBRNEL,BG Bogie hopper wagon,9671,10600,9327,3340,3500,2466,3735,56.78,6790,2000,2260,1000,955,,25,25.61,74.39,100,2.905,3.905,,Iron Ore,CASNUB 22 NLC,14,14,4,,CBC,CTRB(6x11) E-Class,Air Brake,,65,50,,,,,,,,,,,,,,,,
61,Hopper Wagon,BOBYN,BG Bogie hopper wagon,10718,11647,9000,2863,3189,2018,3287,46.1,7470,2000,2260,1000,906,IS:2062 E250A Cu,20.32,25.2,56.08,81.28,2.225,3.225,,BALLAST,CASNUB 22 NLB,14,8,4,,CBC,CTRB(6x11) E-Class,Air Brake,05.07.1999,75,75,04.11.2009,75,75,27.06.2013,75,75,-,-,-,113,No Time Limit,No Time Limit,-,,,
62,Hopper Wagon,BOBYNHS,BG Bogie hopper wagon,10718,11647,9000,2863,3189,2018,3287,46.1,7470,2000,2260,1000,906,IS:2062 E250A Cu,22.9,25.2,66.4,91.6,2.635,3.635,,BALLAST,CASNUB 22 HS,14,14,4,,CBC,CTRB(6x11) E-Class,Air Brake,,65,60,,,,,,,,,,,,,,,,
63,Hopper Wagon,BOBYN 22.9,BG Bogie hopper wagon,10718,11647,9000,2863,3189,2024,3293,46.16,7470,2000,2260,1000,906,IS:2062 E250A Cu,22.9,25.3,66.3,91.6,2.621,3.621,,BALLAST,CASNUB 22 HS,14,14,4,,CBC,CTRB(6x11) E-Class,Air Brake,,65,65,,,,,,,,,,,,,,,,
64,Hopper Wagon,BOBSA,BG Bogie hopper wagon,,,,,,,,,,,,,,,22.9,30.4,61.2,91.6,2.013,3.013,,"Ore, minrals etc.",(Modified) CASNUB 22 NLB,14,10,4,,CBC,CTRB(6x11) E-Class,Air Brake,,75,60,,,,,,,,,,,,,,,,
65,Tank Wagon,BTALN,BG Bogie tank wagon,16600,17529,16325,2200,-,-,4265,60.66,,2000,2260,1000,906,Steel to BS: 1501-224-Gr32 Alt 50 or ASTM-516 Gr 70,20.32,81.28,,81.28,0.000,1.000,,Liquid Ammonia,UIC Bogie,-,-,-,,CBC,CTRB(6x11) E-Class,Air Brake,,65,65,,,,,,,,,,,,,,,,
66,Tank Wagon,BTPN,BG Bogie tank wagon,11491,12420,11434,2850,-,-,4265,70.4,8391,2000,2260,1000,906,IS:2062 Fe410Cu-WA,20.32,27,54.28,81.28,2.010,3.010,,"kerosene,petrol, diesel and naphtha",CASNUB 22 NLB,12,8,4,,CBC,CTRB(6x11) E-Class,Air Brake,,80,75,,,,,,,,,,,,,,,,
67,Tank Wagon,BTPGLN,BG Bogie tank wagon,18000,18929,17960,2400,-,-,4285,79.48,12970,2000,2260,1000,906,Steel to BS: 1501-224-Gr32 Alt 30 or ASTM-516 Gr 70,19.8,41.6,37.6,79.2,0.904,1.904,,LPG,CASNUB 22 NLB,12,8,4,,T.S.- CBC,CTRB(6x11) E-Class,Air Brake,,90,75,,,,,,,,,,,,,,,,
68,Tank Wagon,BTCS,BG Bogie tank wagon,9784,10713,9760,2300,-,-,4110,38.75,,2000,2260,1000,906,IS:2062 Fe410Cu-WA,20.32,81.28,,81.28,0.000,1.000,,Caustic Soda,CASNUB 22W,12,8,4,,CBC,CTRB(6x11) E-Class,Air Brake,,65,65,,,,,,,,,,,,,,,,
69,Tank Wagon,BTFLN,BG Bogie tank wagon,11491,12420,11522,2950,-,-,4358,76,8391,2000,2260,1000,906,IS:8500 Fe 570B,20.32,23.32,57.96,81.28,2.485,3.485,,"kerosene,petrol, diesel and naphtha",CASNUB 22 HS,14,12,4,,CBC,CTRB(6x11) E-Class,Air Brake,27.08.2013,65,65,16.1.2017,65,65,19.02.2019,65,65,-,-,-,125,Limited,14.02.2023,-,,,
70,Tank Wagon,BTAP,BG Bogie tank wagon,11400,12329,8400,3200,-,-,4350,62,,2000,2260,1000,906,IS:2062 Fe410Cu-WA,20.32,27.32,53.96,81.28,1.975,2.975,,"Alumina Powder, Fly ash",CASNUB 22 NLB,12,8,4,,CBC,CTRB(6x11) E-Class,Air Brake,,,,,,,,,,,,,,,,,,,
71,Tank Wagon,BTAPM1,BG Bogie tank wagon,11400,12329,8400,3200,-,-,4350,62,,2000,2260,1000,906,IS:2062 Fe410Cu-WA,21.92,27.32,60.36,87.68,2.209,3.209,,"Alumina Powder, Fly ash",(Modified) CASNUB 22 NLB,14,10,4,,CBC,CTRB(6x11) E-Class,Air Brake,08.09.2020,65,60,11.11.2020,65,60,-,-,-,24.05.2021,65,60,133,Limited,07.09.2025,-,,,
72,Tank Wagon,BTALNM,BG Bogie tank wagon,16600,17529,16325,2200,-,-,4265,60.66,,2000,2260,1000,906,Steel to BS: 1501-224-Gr32 Alt 50 or ASTM-516 Gr 70,20.3,47.96,33.24,81.2,0.693,1.693,,Liquid Ammonia,CASNUB 22 HS,14,12,4,,CBC,CTRB(6x11) E-Class,Air Brake,11.11.2014,65,65,,65,65,23.06.2017,65,65,-,-,-,123,Limited,10.11.2019,-,,,
73,Tank Wagon,BTALNM,BG Bogie tank wagon,16600,17529,16325,2200,-,-,4265,60.66,,2000,2260,1000,906,Steel to BS: 1501-224-Gr32 Alt 50 or ASTM-516 Gr 70,20.3,47.96,33.24,81.2,0.693,1.693,,Liquid Ammonia,CASNUB 22 HS,14,12,4,,CBC,CTRB(6x11) E-Class,Air Brake,07.08.2020,100,90,11.11.2020,100,90,-,-,-,07.04.2021,100,90,133,No Time Limit,No Time Limit,-,,,
74,Container wagon,BLLA/ BLLB,BG Bogie container wagon,,,,,,,,,,,,,,IS:2062 E450BR Cu,18.8,,,,,,,Container,,,,,,,,Air Brake,11.05.2004,100,100,15.06.2004,100,100,-,-,-,-,-,-,31,No Time Limit,No Time Limit,-,,,
75,Container wagon,BLLA,BG Bogie container wagon,15220,16161,-,2100 (Over Headstock),2200 (Over Bolster),-,1009,-,10700,2000,2260,840,780,IS:2062 E450BR Cu,20.32,19.8,61,80.8,3.081,4.081,,Container,LCCF 20 (c ),14,12,4,Spring Loaded,CBC/SDB,CTRB(6x11) E-Class,Air Brake,,100,100,,,,,,,,,,,,,,,,
76,Container wagon,BLLB,BG Bogie container wagon,13810,14763,-,2100 (Over Headstock),2200 (Over Bolster),-,1009,-,9810,2000,2260,840,780,IS:2062 E450BR Cu,20.32,19,61,80,3.211,4.211,,Container,LCCF 20 (c ),14,12,4,Spring Loaded,SDB,CTRB(6x11) E-Class,Air Brake,,100,100,,,,,,,,,,,,,,,,
77,Container wagon,BLCA,BG Bogie container wagon,13625,14566,-,2100 (Over Headstock),2200 (Over Bolster),-,1009,-,9675,2000,2260,840,780,IS:2062 E450BR Cu,20.32,19.1,61,80.1,3.194,4.194,,Container,LCCF 20 (c ),14,12,4,Spring Loaded,CBC/SDB,CTRB(6x11) E-Class,Air Brake,,100,100,,,,23.08.2004,100,100,-,-,-,13,No Time Limit,No Time Limit,-,,,
78,Container wagon,BLCB,BG Bogie container wagon,12212,13165,-,2100 (Over Headstock),2200 (Over Bolster),-,1009,-,8812,2000,2260,840,780,IS:2062 E450BR Cu,20.32,18,61,79,3.389,4.389,,Container,LCCF 20 (c ),14,12,4,Spring Loaded,SDB,CTRB(6x11) E-Class,Air Brake,,100,100,,,,,,,,,,,,,,,,
79,Container wagon,BLCAM,BG Bogie container wagon,13625,14566,-,2100 (Over Headstock),2200 (Over Bolster),-,1009,-,9675,2000,2260,840,780,IS:2062 E450BR Cu,22,19.1,68.9,88,3.607,4.607,,Container,Modified LCCF 20 (c ),14,14,4,CCSB,CBC/SDB,CTRB(6x11) E-Class,Air Brake,12.11.2007,100,100 (90 kmph with double stack empty containers final),04.10.2011,100,100 (90),-,-,-,-,-,-,GGN-RE,No Time Limit,No Time Limit,-,,,
80,Container wagon,BLCBM,BG Bogie container wagon,12212,13165,-,2100 (Over Headstock),2200 (Over Bolster),-,1009,-,8812,2000,2260,840,780,IS:2062 E450BR Cu,22,18,70,88,3.889,4.889,,Container,Modified LCCF 20 (c ),14,14,4,CCSB,SDB,CTRB(6x11) E-Class,Air Brake,,100,90,,,,,,,,,,,,,,,,
81,Container wagon,BLCM (A & B Car),BG Bogie Double Stack Dwarf container wagon,13625,14566,-,2100 (Over Headstock),2200 (Over Bolster),-,1009,-,9675,2000,2260,840,780,IS:2062 E450BR Cu,22,19.1,68.9,88,3.607,4.607,,Dwarf Container,Modified LCCF 20 (c ),14,14,4,CCSB,CBC/SDB,CTRB(6x11) E-Class,Air Brake,19.06.2018,65,65,05.07.2018,65,65,11.07.2018,65,65,-,-,-,HSR-JHL-LDH-CHA,Limited,18.06.2023,-,,,
83,Container wagon,BLC (A & B Car),BG Bogie Double Stack Dwarf container wagon,,,-,,,,,,,,,,,IS:2062 E450BR Cu,20.32,,,,#DIV/0!,#DIV/0!,,Container,,,,,,CBC,,Air Brake,23.06.2018,65,65,05.07.2018,65,65,11.08.2018,65,65,-,-,-,HSR-JHL-LDH-CHA,Limited,22.06.2023,-,,,
84,Container wagon,BLCA/BLCB,BG Bogie Double stack container wagon,,,-,,,,,,,,,,,IS:2062 E450BR Cu,20.32,,,,#DIV/0!,#DIV/0!,,Container,,,,,,CBC,,Air Brake,27.01.2006,75,75,22.02.2006,75,75,19.08.2011,75,75,-,-,-,GGN-RE,No Time Limite,No Time Limite,-,,,
85,Container wagon,BLCS-A,BG Bogie container wagon,,,,,,,,,,,,,,IS:2062 E450BR Cu,22.9,19.2,72.4,91.6,3.771,4.771,,Container,LWLH,14,12,4,CCSB,CBC,CTRB K-Class,Air Brake,,,,,,,,,,,,,,,,,,,
86,Container wagon,BLCS-B,BG Bogie container wagon,,,,,,,,,,,,,,IS:2062 E450BR Cu,22.9,19.2,72.4,91.6,3.771,4.771,,Container,LWLH,14,12,4,CCSB,CBC,CTRB K-Class,Air Brake,,100,100,,,,,,,,,,,,,,,,
87,Auto Car Wagon,BCCN,BG Bogie car wagon,,,,,,,,,,,,,,,10.425/10.5,#VALUE!,,#VALUE!,#VALUE!,#VALUE!,,Auto Cars,IRF 106 HS,14,0,4,,CBC,CTRB(6x11) E-Class,Air Brake,,100,100,,,,,,,,,,,,,,,,
88,Auto Car Wagon,BCCNR,BG Bogie car wagon,,,,,,,,,,,,,,,10.5,,,,,,,Auto Cars,IRF 106 HS,14,0,4,,CBC,CTRB(6x11) E-Class,Air Brake,12.10.2001,100,100,02.07.2003,90,90,29.01.2004,90,90,-,-,-,11,No Time Limite,No Time Limite,-,,,
89,Auto Car Wagon,BCACM,BG Bogie car wagon,,,,,,,,,,,,,,,8.28,,,,,,,,,,,,,,CTRB(6x11) E-Class,Air Brake,28.04.2008,65,65,21.08.2009,65,65,-,-,-,-,-,-,93,Limited,27.04.2013,U/P,,,
90,Auto Car Wagon,BCACM-A,BG Bogie car wagon,13625,14566,-,2100 (Over Headstock),2200 (Over Bolster),-,1009,-,9675,2000,2260,840,780,IS:2062 E450BR Cu,20.32,19.1,61,80.1,3.194,4.194,,Auto Cars,LCCF 20 (c ),14,12,4,Spring Loaded,CBC/SDB,CTRB(6x11) E-Class,Air Brake,,65,75,,,,,,,,,,,,,,,,
91,Auto Car Wagon,BCACM-B,BG Bogie car wagon,12212,13165,-,2100 (Over Headstock),2200 (Over Bolster),-,1009,-,8812,2000,2260,840,780,IS:2062 E450BR Cu,20.32,18,61,79,3.389,4.389,,Auto Cars,LCCF 20 (c ),14,12,4,Spring Loaded,SDB,CTRB(6x11) E-Class,Air Brake,,65,75,,,,,,,,,,,,,,,,
92,Auto Car Wagon,BCACBM,BG Bogie car wagon,22626,23555,-,2746,2896,-,4305,-,14345,2000,2260,840,780,IS:2062 E250A Cu,12.23,,,,,,,Auto Cars,,,,,CCSB,CBC,CTRB(6x11) E-Class,Air Brake,11.04.2012,65,65,14.12.2012,65,65,-,-,-,-,-,-,46,-,-,U/P,,,
93,Auto Car Wagon,BCACBM,BG Bogie car wagon,22626,23555,-,2746,2896,-,4305,-,14345,2000,2260,840,780,IS:2062 E250A Cu,12.715,35.86,15,50.86,0.418,1.418,,Auto Cars,LCCF 20 (c ),14,12,4,CCSB,CBC,CTRB(6x11) E-Class,Air Brake,27.02.2013,100,95,11.08.2014,90,90,27.07.2018,90,90,-,-,-,123,No Time Limit,No Time Limit,-,,,
94,Auto Car Wagon,BCACBM-A,BG Bogie car wagon,22626,23555,-,2746,2896,-,4305,-,14345,2000,2260,840,780,IS:2062 E250A Cu,12.715,35.86,15,50.86,0.418,1.418,,Auto Cars,LCCF 20 (c ),14,12,4,CCSB,CBC,CTRB(6x11) E-Class,Air Brake,,100,95,,,,,,,,,,,,,,,,
95,Auto Car Wagon,BCACBM-B,BG Bogie car wagon,22626,23555,-,2746,2896,-,4305,-,14345,2000,2260,840,780,IS:2062 E250A Cu,12.68,35.72,15,50.72,0.420,1.420,,Auto Cars,LCCF 20 (c ),14,12,4,CCSB,CBC,CTRB(6x11) E-Class,Air Brake,,100,95,,,,,,,,,,,,,,,,
96,Military Flat/Vehicle Wagon,BOMN,BG Bogie car wagon,18460,19742,18460,3100,3200,-,1275,-,13890,2000,2260,1000,960,IS:2062 E250A Cu,16.4,29.778,35.85,65.626,1.204,2.204,,Military vehicle,CASNUB 22 NLB,12,8,4,,CBC,CTRB(6x11) E-Class,Air Brake,,80,75,,,,,,,,,,,,,,,,
97,,BCLHA,,,,,,,,,,,,,,,,19.75,,,,,,,,,,,,,,,Air Brake,,40,40,28.03.2011,40,40,22.11.2011,40,40,-,-,-,83,No Time Limit,No Time Limit,-,,,
98,,BCLH,,,,,,,,,,,,,,,,20.32,,,,,,,,,,,,,,,Air Brake,,40,40,01.03.2011,40,40,26.09.2011,40,40,-,-,-,83,No Time Limit,No Time Limit,-,,,
99,,BFAT,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,Air Brake,,40,25,03.08.2001,40,25,10.10.2006,40,25,-,-,-,96,No Time Limit,No Time Limit,-,,,
100,,BCLM,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,Air Brake,08.07.2008,40,40,08.09.2010,40,40,13.04.2012,40,40,-,-,-,83,Limited,27.08.2013,U/P,,,
101,Military Flat/Vehicle Wagon,BWTB,BG Bogie flat wagon,15510,15510,-,-,3200,-,1306,-,,2000,2260,1000,906,"IS:8500, Gr. 450 & Is:2062",22.9,35.5,56.1,91.6,1.580,2.580,,Military tank,CASNUB 22 NLB,14,10,4,,CBC,CTRB(6x11) E-Class,Air Brake,,65,65,,,,,,,,,,,,,,,,
102,Military Flat/Vehicle Wagon,BWTB,BG Bogie flat wagon,15510,15510,-,-,3200,-,1306,-,,2000,2260,1000,906,"IS:8500, Gr. 450 & Is:2062",20,,,,#DIV/0!,#DIV/0!,,Military tank,,,,,,CBC,CTRB(6x11) E-Class,Air Brake,27.01.2003,65,65,,65,65,20.05.2004,65,65,-,-,-,54,,,,,,
103,Brake Van,BVZC,Brake Van,,,,,,,,,,,,,,,7.0,28,,28,0.000,1.000,,Gaurd Van,4-wheeler,,,,,CBC,,Air Brake,10.07.2000,100,-,23.09.2020,100,-,-,-,-,31.05.2021,100,-,135,Limited,31.12.2023,,,,
104,Brake Van,BVZI,Brake Van,13540,14469,-,-,3200,2448,3894,-,9026,2896,-,915,813,"IS:2062 E250A Cu, IS:3502",5.875,23.525,56.68,81.28,2.409,3.455,,Guard Van,ICF Bogie,-,-,-,,CBC,,Air Brake,03.04.2003,100,-,22.04.2004,100,-,-,-,-,-,-,-,-,-,-,,,,
105,Brake Van,BVCM,Brake Van,9784,10713,-,-,3200,2448,3894,-,,2000,2260,1000,906,IS:2062 E250A Cu,,0,,,#DIV/0!,#DIV/0!,,Guard Van,CASNUB 22 HS,12,8,4,,CBC,CTRB(6x11) E-Class,Air Brake,13.06.2016,100,-,30.01.2017,100,-,-,-,-,-,-,-,119,No Time Limit,No Time Limit,,,,
106,Covered Wagon,BCN & BCNA,BG Bogie covered wagon,,,,,,,,,,,,,,,22.32,,,,,,,"Food Grain, cement etc",,,,,,,,,05.05.2006,80,60,"25.08.2009, corregendum 15.09.2009",80,60,-,-,-,-,-,-,93,Expired,02.05.2011,U/P,,,
107,Tank Wagon,BTFLNM1,BG Bogie tank wagon,,,,,,,,,,,,,,,20.32,,,,,,,"kerosene,petrol, diesel and naphtha",,,,,,,,,28.01.2021,100,100,24.05.2021,100,85,-,-,-,06.10.2021,100,85,134,No Time Limit,No Time Limit,-,,,
108,Covered Wagon,BCN M1,BG Bogie covered wagon,,,,,,,,,,,,,,,22.32,,,,,,,"Food Grain, cement etc",,,,,,CBC,,Air Brake,10.06.2008,80,75,04.11.2009,80,75,-,-,-,-,-,-,88,No Time Limit,No Time Limit,-,,,
109,Covered Wagon,BCNA M1,BG Bogie covered wagon,,,,,,,,,,,,,,,22.32,,,,,,,"Food Grain, cement etc",,,,,,CBC,,Air Brake,10.06.2008,80,75,04.11.2009,80,75,-,-,-,-,-,-,88,No Time Limit,No Time Limit,-,,,
110,Open wagon,BOXNLW M1,BG Bogie open wagon,,,,,,,,,,,,,,,22.32,,,,,,,Coal,,,,,,CBC,,Air Brake,13.08.2008,65,60,18.01.10,65,60,-,-,-,-,-,-,88,Limited,12.08.2013,U/P,,,
111,Open wagon,BOST,BG Bogie open wagon,,,,,,,,,,,,,,,22.32,,,,,,,"Coal, ore, etc.",,,,,,CBC,,Air Brake,25.01.2008,80,50,12.11.2009,80,50,-,-,-,-,-,-,93,Limited,11.11.2011,U/P,,,
112,Covered Wagon,BCNAHS M1,BG Bogie covered wagon,,,,,,,,,,,,,,,22.32,,,,,,,"Food Grain, cement etc",,,,,,CBC,,Air Brake,10.06.2008,100,75,17.11.2009,100,75,26.02.2010,100,75,-,-,-,88,Limited,16.11.2011,U/P,,,
113,Open wagon,BOXNHS M1,BG Bogie open wagon,,,,,,,,,,,,,,,22.32,,,,,,,Coal,,,,,,CBC,,Air Brake,10.06.2008,90,60,13.11.2009,90,60,19.01.2011,90,60,-,-,-,56,Limited,12.11.2011,U/P,,,
114,Open wagon,BOXN,BG Bogie open wagon,,,,,,,,,,,,,,,22.32,,,,,,,"Iron Ore, Coal etc.",,,,,,CBC,,Air Brake,31.10.2007,80,60,25.06.2012,80,60,-,-,-,-,-,-,56,No Time Limit,No Time Limit,-,,,
115,Open wagon,BOXN M1,BG Bogie open wagon,,,,,,,,,,,,,,,22.32,,,,,,,Coal,,,,,,CBC,,Air Brake,27.03.2009,80,70,17.05.2012,80,70,27.06.2013,80,60,-,-,-,100,No Time Limit,No Time Limit,-,,,
116,Container wagon,BLCS (single stack),BG Bogie container wagon,,,,,,,,,,,,,,,22.32,,,,,,,Container,,,,,,CBC,,Air Brake,18.03.2019,65,65,03.03.2021,65,60,-,-,-,22.03.2021,65,60,135,-,-,-,,,
117,Container wagon,BLCS (double stack),BG Bogie container wagon,,,,,,,,,,,,,,,22.32,,,,,,,Container,,,,,,CBC,,Air Brake,27.03.2019,65,65,03.03.2021,65,60,-,-,-,22.03.2021,65,60,GGN-RE,-,-,-,,,
118,,BFKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,BFKHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,BAFRDR,BG Bogie container wagon,,,,,,,,,,,,,,,20.32,,,,,,,,,,,,,,,Air Brake,02.06.2014,100,100,17.11.2015,60,60,14.05.2016,60,60,-,-,-,NDLS-TKD- PWL & DLI-NZM,No Time Limit,No Time Limit,-,,,
