S.No.,Type of Stock,Mech. Code,Wagon Description,"Length over Headstock
 (mm)","Length over Buffer/Couplers
 (mm)","Length Inside 
(mm)","Width Inside
(mm)","Overall width
 (mm)","Height Inside
(mm)","Overall Height from Rail
 (mm)","Cubic Capacity
 (cum)","Bogie Centre 
 (mm)","Wheel Base
 (mm)","Journal centre
 (mm)","Wheel Dia Max
 (mm)","Wheel Dia Min
 (mm)",Material of Construction,Axle Load (t),Tare Wt.(t),Carrying capacity(t),Gross Wt.(t),Ratio(CC to Tare),Ratio(Gross to Tare),Built,Commodity Transported,Type of Bogie,Outer spring (nos/Bogie),Inner spring (nos/Bogie),Snubber spring (nos/Bogie),Type of Side Bearer Assembly,Type of Coupler,Type of Bearing,Air Brake Sytem,RDSO Speed Certificate Date,"RDSO Certified Speed Empty
 KMPH","RDSO Certified Speed Loaded
 KMPH",Rly Bd. Sanction Date,"Rly Bd. Sanction Speed Empty
 KMPH","Rly Bd. Sanction Speed Loaded
 KMPH",CRS Sanction Date,"CRS Sanction Speed Empty
 KMPH","CRS Sanction Speed Loaded
 KMPH",GM Sanction Date,"GM Sanction Speed Empty
 KMPH","GM Sanction Speed Loaded
 KMPH",Routes,"Validity
 (Open/Limited/Expired)","Valid Up to 
 (If limited)",Current status/ Remarks,Engg. Case No.,Pending Decision with,Population over IR as on date……
12,Open wagon,BOXNHS M2,BG Bogie open wagon,9784,10713,9784,2950,3200,1950,3233,56.29,6524,2000,2260,1000,906,,22.82,31.25,60.03,91.28,1.921,2.921,,"Coal, ore etc.",CASNUB 22 HS (MODIFIED),14,14,4,,CBC,CTRB(6x11) E-Class,Air Brake,11.10.2019,100,75,27.01.2021,100,75,-,-,-,25.05.2021 (E) & 13.07.2021 (L),100,75,135/52,-,-,-,,,
13,Open wagon,BOXNHA,BG Bogie open wagon,9784,10713,9784,2950,3200,2175,3450,62.8,6524,2000,2260,1000,906,,22.82,26.05,65.23,91.28,2.504,3.504,,"Coal, ore etc.",IRF 108 HS,14,14,4,,CBC,CTRB(6x11) E-Class,Air Brake,31.03.2010,100,75,11.11.2020,100,75,-,-,-,17.09.2021 (E) & 18.06.2021 (L),100,75,136/52,-,-,-,,,
14,Open wagon,BOXNHAM,BG Bogie open wagon,9784,10713,9784,2950,3200,1950,3233,68.18,6524,2000,2260,1000,906,,22.82,23.1,68.18,91.28,2.952,3.952,,"Coal, ore etc.",IRF 108 HS,14,14,4,,CBC,CTRB(6x11) E-Class,Air Brake,11.02.2011,100,75,17.05.2012,100,75,-,-,-,27.09.2021 (E) & 27.07.2021 (L),100,75,136/52,-,-,-,,,
15,Open wagon,BOXNLW,BG Bogie open wagon,9784,10713,9784,3022,3250,2066,3341,61.09,6524,2000,2260,1000,906,Stainless Steel (IRS:M44) & Corton Steel (IRS:M41),20.32,18.26,63.02,81.28,3.451,4.451,1988,Coal,CASNUB 22 HS,14,12,4,Spring Loaded,CBC,CTRB(6x11) E-Class,Air Brake,,100,100,,,,,,,,,,,,,,,,
16,Open wagon,BOXNLW M1,BG Bogie open wagon,9784,10713,9784,3022,3250,2066,3341,61.09,6524,2000,2260,1000,906,Stainless Steel (IRS:M44) & Corton Steel (IRS:M41),22.82,18.26,70.86,89.12,3.881,4.881,1988,Coal,CASNUB 22 HS (MODIFIED),14,14,4,PU Pad,CBC,CTRB(6x11) E-Class,Air Brake,,65,60,,,,,,,,m,,,,,,,,
17,Open wagon,BOXNLW M2,BG Bogie open wagon,9784,10713,9784,3022,3250,2066,3341,61.09,6524,2000,2260,1000,906,Stainless Steel (IRS:M44) & Corton Steel (IRS:M41),22.82,18.26,62.04,80.3,3.398,4.398,1988,"Coal, ore, etc.",CASNUB 22 HS (MODIFIED),14,14,4,PU Pad,CBC,CTRB(6x11) E-Class,Air Brake,05.08.2020,100,75,27.01.2021,100,75,-,-,-,20.05.2021 (E) & 18.06.2021 (L),100,75,135/52,-,-,-,,,
18,Open wagon,BOST,BG Bogie open wagon,12800,13729,12800,2850,3100,1950,3080,65.79,8800,2000,2260,1000,906,,20.32,25.5,55.78,81.28,2.187,3.187,,"Coal, ore, etc.",CASNUB 22 HS,14,12,4,Spring Loaded,CBC,CTRB(6x11) E-Class,Air Brake,,80,75,,,,,,,,,,,,,,,,
19,Open wagon,BOST M1,BG Bogie open wagon,12800,13729,12800,2850,3100,1950,3080,65.79,8800,2000,2260,1000,906,,22.32,25.5,63.78,89.28,2.501,3.501,,"Coal, ore, etc.",CASNUB 22 HS (MODIFIED),14,14,4,,CBC,CTRB(6x11) E-Class,Air Brake,,65,60,,,,,,,,,,,,,,,,
20,Open wagon,BOSTHS,BG Bogie open wagon,12800,13729,12800,2850,3100,1950,3080,65.79,8800,2000,2260,1000,906,,20.32,25.5,55.78,81.28,2.187,3.187,,"Coal, ore, etc.",CASNUB 22 HS (Mod-I),14,12,4,PU Pad,CBC,CTRB(6x11) E-Class,Air Brake,31.05.2004,100,75,13.04.2011,100,75,-,-,-,-,-,-,58,No Time Limit,No Time Limit,-,,,
21,Open wagon,BOSTHS M1,BG Bogie open wagon,12800,13729,12800,2850,3100,1805,3080,63.78,8800,2000,2260,1000,906,,22.32,25.5,63.78,89.28,2.501,3.501,,steel,MODIFIED CASNUB 22 HS (Mod-I),14,14,4,PU Pad,CBC,CTRB(6x11) E-Class,Air Brake,28.11.2007,80,60,22.02.2018,80,60,-,-,-,-,-,-,109,No Time Limit,No Time Limit,-,,,
22,Open wagon,BOXNM2,BG Bogie open wagon,9784,10713,9784,2950,3200,1950,3233,56.29,6524,2000,2260,1000,906,,22.82,31.25,60.03,91.28,1.921,2.921,,"Coal, ore etc.",CASNUB 22 NLB,12,8,4,,CBC,CTRB(6x11) E-Class,Air Brake,11.10.2019,100,75,27.01.2021,100,75,-,-,-,10.05.2021 (E) & 15.06.2021 (L),100,75,135/52,-,-,-,,,
23,Open wagon,BOXNCR,BG Bogie open wagon,9784,10713,9784,2950,3200,1950,3233,56.29,6524,2000,2260,1000,906,IRS M-44 Steel,20.32,23.2,58.08,81.28,2.503,3.503,,"Coal, ore etc.",CASNUB 22 NLB,12,8,4,,CBC,CTRB(6x11) E-Class,Air Brake,,80,75,,,,,,,,,,,,,,,,
24,Open wagon,BOXNRHS,BG Bogie open wagon,9784,10713,9784,2954,3176,2127,3408,61.47,6524,2000,2260,1000,906,,22.9,21.2,70.4,91.6,3.321,4.321,,"Coal, ore etc.",CASNUB 22HS,14,12,4,Spring Loaded,CBC,CTRB(6x11) E-Class,Air Brake,11.09.2019,100,75,27.01.2021,100,75,-,-,-,03.05.2021(E) & 15.06.2021 (L),100,75,135/52,-,-,-,,,
25,Open wagon,BOSTHS M2,BG Bogie open wagon,12800,13729,12800,2850,3100,1805,3080,63.78,8800,2000,2260,1000,906,,22.32,25.5,63.78,89.28,2.501,3.501,,Steel products,Modified CASNUB 22HS (MOD-II),14,12,4,PU Pad,CBC,CTRB(6x11) E-Class,Air Brake,19.08.2020,100,75,27.01.2021,100,75,-,-,-,20.05.2021 (E) & 18.06.2021 (L),100,75,135/52,-,-,-,,,
26,Open wagon,BOSTHS M3,BG Bogie open wagon,12800,13729,12800,2850,3100,1805,3080,63.78,8800,2000,2260,1000,906,,22.32,25.48,63.8,89.28,2.504,3.504,,Steel products,CASNUB 22HS (MOD-I),14,14,4,PU Pad,CBC,CTRB(6x11) E-Class,Air Brake,20.08.2020,100,75,27.01.2021,100,75,-,-,-,03.05.2021 (E) & 18.06.2021 (L),100,75,135/52,-,-,-,,,
 ,Covered Wagon,BCN,BG Bogie covered wagon,14500,15429,14494,2944,3100,2446,3788,104,10000,2000,2260,1000,906,IS:2062 Fe410Cu-WA,20.32,27.2,54.08,81.28,1.988,2.988,,"Food Grain, cement etc",CASNUB 22 NLB,12,8,4,,CBC,CTRB(6x11) E-Class,Air Brake,,80,75,,,,,,,,,,,,,,,,
28,Covered Wagon,BCNHL,BG Bogie covered wagon,10034,10963,10034,3345,3450,3024,4305,92.54,7153,2000,2260,1000,906,"IRS:M-44, Cold Rolled Sections",22.9,20.8,70.8,91.6,3.404,4.404,May-2008,"Food Grain, cement etc",(MODIFIED) CASNUB 22 HS,14,14,4,,CBC,CTRB(6x11) E-Class,Air Brake,04.10.2011,70,75,11.11.2020,70,75,-,-,-,03.05.2021 (E) & 29.06.2021 (L),70,75,133/52,-,-,-,,,
29,Covered Wagon,BCNAHS,BG Bogie covered wagon,13521,14450,13515,2944,3200,2677,4017,103.4,9500,2000,2260,1000,906,IS:2062 Fe410Cu-WA,20.32,24.6,56.68,81.28,2.304,3.304,,"Food Grain, cement etc",CASNUB 22 HS,14,12,4,,CBC,CTRB(6x11) E-Class,Air Brake,,100,100,,,,,,,,,,,,,,,,
30,Covered Wagon,BCN M1,BG Bogie covered wagon,14500,15429,14494,2944,3100,2446,3788,104,10000,2000,2260,1000,906,IS:2062 Fe410Cu-WA,22.82,27.2,64.08,91.28,2.356,3.356,,"Food Grain, cement etc",(MODIFIED) CASNUB 22 NLB,14,10,4,,CBC,CTRB(6x11) E-Class,Air Brake,18.03.2008,80,60,25.08.2009,80,60,-,-,-,-,-,-,,Limited,24.08.2010,U/P,,,
31,Covered Wagon,BCNHS M1,BG Bogie covered wagon,14500,15429,14494,2944,3100,2446,3788,104,10000,2000,2260,1000,906,IS:2062 Fe410Cu-WA,22.82,27.2,64.08,91.28,2.356,3.356,,"Food Grain, cement etc",(MODIFIED) CASNUB 22 HS,14,14,4,,CBC,CTRB(6x11) E-Class,Air Brake,,100,75,,,,,,,,,,,,,,,,
32,Covered Wagon,BCNA,BG Bogie covered wagon,13521,14450,13515,2944,3200,2677,4017,103.4,9500,2000,2260,1000,906,IS:2062 Fe410Cu-WA,20.32,24.55,56.73,81.28,2.311,3.311,,"Food Grain, cement etc",CASNUB 22 NLB,14,8,4,,CBC,CTRB(6x11) E-Class,Air Brake,,80,80,,,,,,,,,,,,,,,,
33,Covered Wagon,BCNA M1,BG Bogie covered wagon,13521,14450,13515,2944,3200,2677,4017,103.4,9500,2000,2260,1000,906,IS:2062 Fe410Cu-WA,22.82,24.6,66.68,91.28,2.711,3.711,,"Food Grain, cement etc",(MODIFIED) CASNUB 22 NLB,14,10,4,,CBC,CTRB(6x11) E-Class,Air Brake,05.05.2011,80,60,02.02.2012,80,60,-,-,-,-,-,-,18,Limited,17.03.2013,U/P,,,
34,Covered Wagon,BCNAHS M1,BG Bogie covered wagon,13521,14450,13515,2944,3200,2677,4017,103.4,9500,2000,2260,1000,906,IS:2062 Fe410Cu-WA,22.82,24.6,66.68,91.28,2.711,3.711,,"Food Grain, cement etc",(MODIFIED) CASNUB 22 HS,14,14,4,,CBC,CTRB(6x11) E-Class,Air Brake,10.06.2010,100,75,11.11.2020,100,75,-,-,-,03.05.2021 (E) & 17.06.2021 (L),100,75,133/52,-,-,,,,
35,Covered Wagon,BCCW,BG Bogie covered wagon,,,,,,,,,,,,,,,20.32,,,81.28,#DIV/0!,#DIV/0!,,Cement,CASNUB 22 NLB,12,8,4,,CBC,CTRB(6x11) E-Class,Air Brake,,75,75,,,,,,,,,,,,,,,,
36,Covered Wagon,BCCW,BG Bogie covered wagon,,,,,,,,,,,,,,,21.82,,,87.28,,,,Cement,CASNUB 22 HS,14,12,4,,CBC,CTRB(6x11) E-Class,Air Brake,,,,,,,,,,,,,,,,,,,
37,Covered Wagon,BCFC,BG Bogie covered wagon,9784,10713,10084.7,3128.7,3245,2300.5,4165,72.8,6684,2000,2260,1000,906,,22.32,22,67.3,89.3,3.059,4.059,,Cement,CASNUB 22 HS,14,14,4,,CBC,CTRB(6x11) E-Class,Air Brake,,65,65,,,,,,,,,,,,,,,,
38,Covered Wagon,BCFC,BG Bogie covered wagon,9784,10713,10084.7,3128.7,3245,2300.5,4165,72.8,6684,2000,2260,1000,906,,17.75,22,49,71,2.227,3.227,,Fly Ash,CASNUB 22 HS,14,14,4,,CBC,CTRB(6x11) E-Class,Air Brake,,,,,,,,,,,,,,,,,,,
39,Covered Wagon,BCBFG,BG Bogie covered wagon,11861,12790,11770,3140,3250,,4260,81.76,8661,2000,2260,1000,906,,21.82,26.44,60.84,87.28,2.301,3.301,,Food Grain,CASNUB 22 HS (Mod-I),14,14,4,,CBC,CTRB(6x11) E-Class,Air Brake,,65,65,,,,06.05.2008,65,60,-,-,-,58,Limited,23.07.2012,U/P,,,
40,Covered Wagon,BCFCM,BG Bogie covered wagon,,,,,,,,,,,,,,,22.9,,,,#DIV/0!,#DIV/0!,,,,,,,,CBC,CTRB(6x11) E-Class,Air Brake,03.03.2020,65,65,08.07.2020,65,60,-,-,-,16.06.2021 (E) & 27.09.2021 (L),65,60,135/106,-,-,,,,
41,Flat Wagon,BRN,BG Bogie flat wagon,13716,14645,13716,-,2845,-,2544,-,9144,2000,2260,1000,906,,20.32,24.393,56.887,81.28,2.332,3.332,,"Rail, Steel Products",CASNUB 22 NLB,14,8,4,,CBC,CTRB(6x11) E-Class,Air Brake,,80,75,,,,,,,,,,,,,,,,
42,Flat Wagon,BRNAM1,BG Bogie flat wagon,13716,14645,13716,-,2845,-,2544,-,9144,2000,2260,1000,906,,20.32,23.56,57.72,81.28,2.450,3.450,,Steel products,CASNUB 22 NLB (Modified),14,14,4,,CBC,CTRB(6x11) E-Class,Air Brake,,100,100,,,,,,,,,,,,,,,,
43,Flat Wagon,BRN22.9,BG Bogie flat wagon,13716,14645,13716,-,2930,-,2555,-,9144,2000,2260,1000,906,,22.9,23.32,68.28,91.6,2.928,3.928,,"Rail, Steel plates, Sleepers Top Loading",CASNUB 22 HS,14,14,4,,CBC,CTRB(6x11) E-Class,Air Brake,,65,65,,,,,,,,,,,,,,,,
44,Flat Wagon,BRNA,BG Bogie flat wagon,13716,14645,13716,-,2845,-,2544,-,9144,2000,2260,1000,906,IS:2062 E250A Cu,20.32,23.543,57.737,81.28,2.452,3.452,,"Rail, Steel plates, Sleepers Top Loading",CASNUB 22 NLB,12,8,4,,CBC,CTRB(6x11) E-Class,Air Brake,,80,75,,,,,,,,,,,,,,,,
45,Flat Wagon,BRNAHS,BG Bogie flat wagon,13716,14645,13716,-,2845,-,2544,-,9144,2000,2260,1000,906,IS:2062 E250A Cu,20.32,23.55,57.73,81.28,2.451,3.451,,"Rail, Steel plates, Sleepers Top Loading",CASNUB 22 HS,14,12,4,,CBC,CTRB(6x11) E-Class,Air Brake,29.05.2003,100,100,04.01.2005,100,100,-,-,-,-,-,-,101,Limited,,U/P,,,
46,Flat Wagon,BRSTN,BG Bogie flat wagon,13716,14998,13716,-,3200,-,1264,-,9144,2000,2260,1000,906,,20.32,25.01,56.27,81.28,2.250,3.250,,Heavy Vehicles,CASNUB 22 NLB,12,8,4,,CBC,CTRB(6x11) E-Class,Air Brake,16.10.2009,75,80,20.06.2017,75,80,-,-,-,09.03.2019,75,80,125,No Time Linit,No Time Linit,-,,,
47,Flat Wagon,BFNV,BG Bogie flat wagon,,10963,,,2800,,2000,,,,,,,Micro Alloy Steel IS:2062 E450 BRCu,22.9,22,69.6,91.6,3.164,4.164,,Steel Coil,LWLH25,14,12,4,,CBC,CTRB K-Class,Conventional,02.06.2021,100,75,20.09.2021,100,75,-,-,-,21.10.2021,100,75,136/52,-,-,,,,
48,Flat Wagon,BFNS,BG Bogie flat wagon,13716,14645,13716,2845,3045,-,2776,-,9144,2000,2260,1000,906,Corten Steel to IRSM:41 & IS:2062 E250A Cu,20.32,26.71,54.57,81.28,2.043,3.043,1998,"Steel Coil, Plates, Sheets, Billets etc.",CASNUB 22 HS,14,12,4,,CBC,CTRB(6x11) E-Class,Air Brake,30.12.2002,80,75,23.02.2005,80,75,-,-,-,-,-,-,100,No Time Linit,No Time Linit,-,,,
49,Flat Wagon,BFNS22.9,BG Bogie flat wagon,13716,14645,13716,2845,3045,-,2776,-,9144,2000,2260,1000,906,Corten Steel to IRSM:41 & IS:2062 E250A Cu,22.9,26.71,64.89,91.6,2.429,3.429,,"Steel Coil, Plates, Sheets, Billets etc.",CASNUB 22 HS (Mod-I),14,14,4,,CBC,CTRB(6x11) E-Class,Conventional,18.07.2014,65,65,18.04.2017,60,60,17.09.2008,60,60,-,-,-,57,Limited,17.072019,-,,,
50,Flat Wagon,BFNSM,BG Bogie flat wagon,13716,14645,13716,2845,3045,-,2776,-,9144,2000,2260,1000,906,Corten Steel to IRSM:41 & IS:2062 E250A Cu,22.9,22,69.6,91.6,3.164,4.164,,"Steel Coil, Plates, Sheets, Billets etc.",(MODIFIED) CASNUB 22 HS,14,14,4,,CBC,CTRB(6x11) E-Class,BMBS,13.01.2017,65,65,15.01.2018,60,60,17.09.2018,60,60,-,-,-,57,Limited,12.01.2022,-,,,
51,Flat Wagon,BRHNEHS,BG Bogie flat wagon,13716,14998,12716,2845,3049,1264,2008,-,9144,2000,2260,1000,906,,20.32,22.6,58.68,81.28,2.596,3.596,,RCC Sleepers,CASNUB 22 HS,14,12,4,,CBC,CTRB(6x11) E-Class,Air Brake,24.01.2007,65,50,07.05.2010,65,50,-,-,-,-,-,-,102,Limited,23.01.2012,U/P,,,
